"","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"16129","ENSMUSG00000104548",0.0315402628682874,-0.582103417585654,0.0964621103462194,0.924436489927528,0.991846411660173,-5.38359348963483,"Gm43857"
"16452","ENSMUSG00000109408",-0.0194911721656863,1.75261213256485,-0.103494239745356,0.918948110058289,0.991846411660173,-5.85105413146395,"A930037H05Rik"
"16508","ENSMUSG00000110206",-0.0233555388936897,0.644457308150958,-0.0937077650007612,0.926587277435137,0.991846411660173,-5.67918176545381,"Flt3l"
"16693","ENSMUSG00000113121",-0.0489808817841285,-0.800516300487667,-0.101445442007548,0.920546712474834,0.991846411660173,-5.33041499952377,"Gm35161"
"17093","ENSMUSG00000120048",0.0351410934114037,-0.474168097010355,0.0964130548497897,0.924474790648344,0.991846411660173,-5.40930921021856,"Gm57084"
"17404","ENSMUSG00002076916",0.0541850257648238,-0.636529079219619,0.10245841622659,0.919756280783164,0.991846411660173,-5.5096770829489,"Gm54730"
"161","ENSMUSG00000001150",-0.0082368671465307,5.82117527589688,-0.0932040086807175,0.926980710522537,0.992016988620442,-6.38830722000137,"Mcm3ap"
"5316","ENSMUSG00000027860",0.00959197282118858,3.54629166069089,0.0932468815357079,0.92694722610534,0.992016988620442,-6.18926692001028,"Vangl1"
"9788","ENSMUSG00000039987",-0.0108134769276418,5.38292414020375,-0.0932683733935424,0.92693044065843,0.992016988620442,-6.35687968253802,"Phtf2"
"11168","ENSMUSG00000046364",0.0252191847043059,7.92738367790119,0.0933920584276058,0.926833841583787,0.992016988620442,-6.41284649569729,"Rpl27a"
"8672","ENSMUSG00000036555",-0.0151714214564487,5.13187404277032,-0.0929609019510027,0.927170583643132,0.992098176312638,-6.34861509484334,"Iqce"
"17383","ENSMUSG00000121876",0.0331427578699041,0.107279172751242,0.0930157016039028,0.927127783189463,0.992098176312638,-5.61472270237276,"ENSMUSG00000121876"
"1747","ENSMUSG00000019312",-0.0199015273533403,0.379828652176193,-0.0925718750760629,0.927474433972545,0.992164545390168,-5.59654942567898,"Grb7"
"2146","ENSMUSG00000020464",-0.0178507630822264,4.80382038936911,-0.0926980588413316,0.927375876573437,0.992164545390168,-6.2907209900904,"Pnpt1"
"4358","ENSMUSG00000025764",-0.00988969753155142,4.86524048908868,-0.0925994921822288,0.927452863183322,0.992164545390168,-6.3161497977133,"Jade1"
"5557","ENSMUSG00000028354",0.00831344084231346,5.73028530661455,0.092661829371472,0.92740417392569,0.992164545390168,-6.37634335605393,"Fmn2"
"7880","ENSMUSG00000033751",-0.0151787655344353,4.37183239188652,-0.0925165477667828,0.927517648442774,0.992164545390168,-6.27854931490456,"Gadd45gip1"
"131","ENSMUSG00000001017",0.00880462742178932,7.41809913076637,0.0908321479021288,0.928833393943315,0.992279073545005,-6.41837604100258,"Chtop"
"782","ENSMUSG00000005846",-0.0127628625723603,6.22159678298868,-0.0910576182856552,0.928657258360867,0.992279073545005,-6.39398521977232,"Rsl1d1"
"2131","ENSMUSG00000020440",-0.0101817116960575,6.34223726293271,-0.0909311341788541,0.928756066215555,0.992279073545005,-6.40517558853959,"Arf5"
"3115","ENSMUSG00000022412",-0.00978814781974913,4.44138445949004,-0.0912499200375776,0.928507036883355,0.992279073545005,-6.27099311796346,"Mief1"
"3192","ENSMUSG00000022552",0.0171226184580781,4.63165862342009,0.0906959444237965,0.928939796828582,0.992279073545005,-6.30386915592226,"Sharpin"
"3721","ENSMUSG00000024268",0.0145682131309825,8.18220398490246,0.0901520529522197,0.929364701706598,0.992279073545005,-6.40968039391442,"Celf4"
"5010","ENSMUSG00000027207",-0.0107175027447993,4.13211164957211,-0.0904557430518272,0.92912744683857,0.992279073545005,-6.23220263896021,"Galk2"
"5375","ENSMUSG00000027993",0.00779361680249163,7.90433222022084,0.09077145352192,0.928880808544269,0.992279073545005,-6.41303200238166,"Trim2"
"5386","ENSMUSG00000028010",0.0139721617538165,3.53559695404491,0.0914778797795286,0.928328963888089,0.992279073545005,-6.18782677054539,"Gar1"
"5400","ENSMUSG00000028031",0.023660117776143,1.75149035699674,0.0920030759598741,0.927918716811617,0.992279073545005,-5.84701309954936,"Dkk2"
"5646","ENSMUSG00000028532",0.013024234585284,5.83355503996863,0.0910990305937149,0.928624907830229,0.992279073545005,-6.39578941680165,"Cachd1"
"5693","ENSMUSG00000028621",-0.0114217468313869,1.93224009815121,-0.0916472444023214,0.928196665610016,0.992279073545005,-5.90800341478282,"Cyb5rl"
"5882","ENSMUSG00000028959",0.0137046725853057,5.33181017259746,0.0901169046073505,0.929392161448928,0.992279073545005,-6.36940660423554,"Fastk"
"6298","ENSMUSG00000029778",0.0127768260271627,7.79594634696419,0.090869742082419,0.928804025415849,0.992279073545005,-6.41390077829244,"Adcyap1r1"
