"","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"11953","ENSMUSG00000051243",-2.5725284262758,8.84664142350549,-13.7547509818773,6.96745688618881e-10,1.5147743109844e-06,13.0984713050846,"Islr2"
"12059","ENSMUSG00000052033",2.32385555766766,4.9305369616638,12.7283161081667,2.03572958313328e-09,1.5147743109844e-06,12.0376512406982,"Pfdn4"
"12438","ENSMUSG00000054874",-2.34665581458383,6.12646674628376,-12.6284741953288,2.26827946855184e-09,1.5147743109844e-06,11.9121421372527,"Pcnx3"
"12574","ENSMUSG00000055963",2.97699952603953,4.56990672403648,12.486240907536,2.64947463479137e-09,1.5147743109844e-06,11.777321109893,"Triqk"
"12631","ENSMUSG00000056367",1.65488626789868,6.0054725805723,12.0764402692145,4.18006454342214e-09,1.5147743109844e-06,11.3121527274169,"Actr3b"
"12767","ENSMUSG00000057455",1.5188540104215,5.52563805707441,12.6381347046362,2.24459296252935e-09,1.5147743109844e-06,11.938670476419,"Rit2"
"13047","ENSMUSG00000060073",2.34387746208069,7.53665216270769,12.2485646793708,3.44619154274586e-09,1.5147743109844e-06,11.4994934850789,"Psma3"
"13075","ENSMUSG00000060288",2.16806924626654,4.73986139368704,12.3033702383612,3.24226262599634e-09,1.5147743109844e-06,11.5776057819394,"Ppih"
"13384","ENSMUSG00000063146",-1.96450445215746,7.38921219712341,-12.4665614472802,2.70735128715702e-09,1.5147743109844e-06,11.7529175860328,"Clip2"
"13737","ENSMUSG00000068267",-1.22058828340905,7.2309502685277,-13.0247524437399,1.48269630142075e-09,1.5147743109844e-06,12.3491559911086,"Cenpb"
"14162","ENSMUSG00000073616",2.56888685567484,5.99572203531214,12.0733802949666,4.19452179662409e-09,1.5147743109844e-06,11.3092495703389,"Cops9"
"14488","ENSMUSG00000078566",2.60814250332133,5.87652479652485,12.5023662751215,2.60302914954463e-09,1.5147743109844e-06,11.7877669871897,"Bnip3"
"14618","ENSMUSG00000079317",1.75809173067347,5.19796268673663,12.4148819287419,2.86581978353368e-09,1.5147743109844e-06,11.6973271762203,"Trappc2"
"14660","ENSMUSG00000079508",2.58951099644358,4.99355776505619,12.1126307081907,4.01303080374523e-09,1.5147743109844e-06,11.3631006747565,"Apoo"
"14959","ENSMUSG00000085793",1.37588907271781,4.22672477365428,12.3747680631334,2.99559895870545e-09,1.5147743109844e-06,11.6480189529284,"Lin52"
"15569","ENSMUSG00000096775",2.77608428128202,3.76297657505948,12.1853842261218,3.69829203264629e-09,1.5147743109844e-06,11.4419816651671,"Gm5796"
"15599","ENSMUSG00000097039",2.25182975282124,3.57955122493443,12.9628266151108,1.58339970546871e-09,1.5147743109844e-06,12.2477344800321,"Pvt1"
"15921","ENSMUSG00000100865",3.90584673993335,0.852780006564851,12.8151945409879,1.85393607933688e-09,1.5147743109844e-06,11.644189859472,"Gm9320"
"16189","ENSMUSG00000105461",6.65712958018519,-2.37915646702425,12.1523324518342,3.83790252516177e-09,1.5147743109844e-06,8.95812877859858,"Gm4742"
"16483","ENSMUSG00000109890",2.48273981909976,0.608940101907495,12.2808156194012,3.32459278552733e-09,1.5147743109844e-06,10.7812102948474,"AU023762"
